t,h
1126259461.8,-3.1661664285714267e-22
1126259461.8000998,-3.163228095238093e-22
1126259461.8002,-3.1597528571428573e-22
1126259461.8003,-3.1557309523809503e-22
1126259461.8004,-3.1511623809523805e-22
1126259461.8005,-3.1460471428571426e-22
1126259461.8006,-3.140385238095238e-22
1126259461.8007,-3.1341864285714265e-22
1126259461.8007998,-3.127450714285714e-22
1126259461.8009,-3.120187857142855e-22
1126259461.801,-3.112388095238095e-22
1126259461.8011,-3.1040611904761906e-22
1126259461.8012,-3.095216904761903e-22
1126259461.8013,-3.0858552380952384e-22
1126259461.8014,-3.075976190476191e-22
1126259461.8014998,-3.0655895238095225e-22
1126259461.8016,-3.054695238095236e-22
1126259461.8017,-3.0433030952380934e-22
1126259461.8018,-3.0314033333333315e-22
1126259461.8019,-3.018995952380952e-22
1126259461.8019998,-3.0060809523809523e-22
1126259461.8021,-2.992668095238095e-22
1126259461.8021998,-2.9787573809523793e-22
1126259461.8023,-2.964339047619046e-22
1126259461.8024,-2.949422857142857e-22
1126259461.8025,-2.93400880952381e-22
1126259461.8026,-2.9181066666666663e-22
1126259461.8027,-2.9017164285714274e-22
1126259461.8028,-2.884838095238095e-22
1126259461.8028998,-2.8674814285714286e-22
1126259461.803,-2.849646428571428e-22
1126259461.8031,-2.831342857142857e-22
1126259461.8032,-2.812580476190475e-22
1126259461.8033,-2.7933495238095234e-22
1126259461.8034,-2.7736597619047615e-22
1126259461.8035,-2.753520952380952e-22
1126259461.8035998,-2.7329330952380953e-22
1126259461.8037,-2.7119059523809524e-22
1126259461.8038,-2.6904200000000003e-22
1126259461.8039,-2.6684947619047616e-22
1126259461.804,-2.6461302380952377e-22
1126259461.8041,-2.623326428571428e-22
1126259461.8042,-2.6000833333333324e-22
1126259461.8043,-2.5764107142857145e-22
1126259461.8044,-2.5522988095238095e-22
1126259461.8045,-2.5277671428571433e-22
1126259461.8046,-2.5028059523809517e-22
1126259461.8047,-2.4774347619047614e-22
1126259461.8048,-2.451643809523809e-22
1126259461.8049,-2.4254526190476187e-22
1126259461.805,-2.3988611904761903e-22
1126259461.8051,-2.371879285714286e-22
1126259461.8052,-2.344497142857143e-22
1126259461.8053,-2.3167440476190473e-22
1126259461.8054,-2.2886102380952377e-22
1126259461.8055,-2.260105476190476e-22
1126259461.8056,-2.2312297619047616e-22
1126259461.8057,-2.2019830952380947e-22
1126259461.8058,-2.172385e-22
1126259461.8059,-2.142435476190476e-22
1126259461.806,-2.1121247619047615e-22
1126259461.8061,-2.0814723809523812e-22
1126259461.8062,-2.0504685714285712e-22
1126259461.8063,-2.019132857142857e-22
1126259461.8064,-1.9874554761904761e-22
1126259461.8065,-1.9554461904761903e-22
1126259461.8066,-1.9231245238095236e-22
1126259461.8067,-1.890470952380952e-22
1126259461.8068,-1.8575147619047617e-22
1126259461.8069,-1.8242461904761908e-22
1126259461.807,-1.7906749999999999e-22
1126259461.8071,-1.7568207142857139e-22
1126259461.8072,-1.722673571428571e-22
1126259461.8073,-1.688253095238095e-22
1126259461.8074,-1.6535592857142858e-22
1126259461.8075,-1.6185921428571428e-22
1126259461.8076,-1.583361428571428e-22
1126259461.8077,-1.5478671428571426e-22
1126259461.8078,-1.512119047619048e-22
1126259461.8079,-1.4761269047619043e-22
1126259461.808,-1.4398907142857138e-22
1126259461.8081,-1.4034104761904759e-22
1126259461.8082,-1.366695952380952e-22
1126259461.8083,-1.3297471428571428e-22
1126259461.8084,-1.2925835714285713e-22
1126259461.8085,-1.255205238095238e-22
1126259461.8086,-1.2176219047619046e-22
1126259461.8086998,-1.1798238095238094e-22
1126259461.8088,-1.141840238095238e-22
1126259461.8089,-1.1036614285714284e-22
1126259461.8089998,-1.0652971428571426e-22
1126259461.8091,-1.0267473809523807e-22
1126259461.8092,-9.880316666666666e-23
1126259461.8093,-9.491499999999999e-23
1126259461.8093998,-9.101023809523809e-23
1126259461.8095,-8.709083333333332e-23
1126259461.8096,-8.315580952380951e-23
1126259461.8097,-7.920711904761904e-23
1126259461.8098,-7.524476190476185e-23
1126259461.8099,-7.127069047619047e-23
1126259461.81,-6.728392857142856e-23
1126259461.8100998,-6.328545238095237e-23
1126259461.8102,-5.927721428571426e-23
1126259461.8103,-5.52572619047619e-23
1126259461.8104,-5.1228523809523794e-23
1126259461.8105,-4.7190023809523794e-23
1126259461.8106,-4.314371428571427e-23
1126259461.8107,-3.908861904761905e-23
1126259461.8107998,-3.5026690476190475e-23
1126259461.8109,-3.095792857142857e-23
1126259461.811,-2.688233333333333e-23
1126259461.8111,-2.280185714285714e-23
1126259461.8112,-1.871747619047619e-23
1126259461.8113,-1.462821428571428e-23
1126259461.8114,-1.0536999999999998e-23
1126259461.8114998,-6.4418809523809516e-24
1126259461.8116,-2.3457857142857142e-24
1126259461.8117,1.7522619047619047e-24
1126259461.8118,5.850309523809523e-24
1126259461.8119,9.948357142857142e-24
1126259461.812,1.4046404761904758e-23
1126259461.8121,1.8143476190476188e-23
1126259461.8122,2.2238595238095236e-23
1126259461.8123,2.633078571428571e-23
1126259461.8124,3.0421023809523803e-23
1126259461.8125,3.4507357142857134e-23
1126259461.8126,3.8588809523809527e-23
1126259461.8127,4.266538095238096e-23
1126259461.8128,4.673707142857143e-23
1126259461.8129,5.080192857142856e-23
1126259461.813,5.485995238095236e-23
1126259461.8131,5.891016666666668e-23
1126259461.8132,6.295257142857142e-23
1126259461.8133,6.698521428571428e-23
1126259461.8134,7.100907142857142e-23
1126259461.8135,7.502316666666667e-23
1126259461.8136,7.902652380952378e-23
1126259461.8137,8.301816666666664e-23
1126259461.8138,8.699711904761902e-23
1126259461.8139,9.096435714285713e-23
1126259461.814,9.491890476190475e-23
1126259461.8141,9.885880952380952e-23
1126259461.8142,1.0278407142857141e-22
1126259461.8143,1.0669566666666666e-22
1126259461.8144,1.1059066666666664e-22
1126259461.8145,1.144690714285714e-22
1126259461.8146,1.183318571428571e-22
1126259461.8147,1.2217609523809522e-22
1126259461.8148,1.260027619047619e-22
1126259461.8149,1.2981088095238094e-22
1126259461.815,1.3359947619047616e-22
1126259461.8151,1.373675714285714e-22
1126259461.8152,1.4111614285714281e-22
1126259461.8153,1.4484323809523806e-22
1126259461.8154,1.485488571428571e-22
1126259461.8155,1.522320238095238e-22
1126259461.8156,1.558927380952381e-22
1126259461.8157,1.5952904761904761e-22
1126259461.8158,1.6314192857142855e-22
1126259461.8158998,1.6673040476190472e-22
1126259461.816,1.7029349999999995e-22
1126259461.8161,1.7383121428571427e-22
1126259461.8162,1.7734257142857143e-22
1126259461.8163,1.8082757142857143e-22
1126259461.8164,1.8428523809523808e-22
1126259461.8165,1.8771459523809527e-22
1126259461.8165998,1.9111661904761904e-22
1126259461.8167,1.9448935714285712e-22
1126259461.8168,1.978328095238095e-22
1126259461.8169,2.0114599999999998e-22
1126259461.817,2.0442892857142857e-22
1126259461.8171,2.0768061904761902e-22
1126259461.8172,2.1090204761904762e-22
1126259461.8172998,2.1409028571428566e-22
1126259461.8174,2.1724630952380948e-22
1126259461.8175,2.203691428571429e-22
1126259461.8176,2.234587857142857e-22
1126259461.8177,2.265132857142857e-22
1126259461.8178,2.29533619047619e-22
1126259461.8179,2.3251978571428568e-22
1126259461.818,2.354698333333333e-22
1126259461.8181,2.383837619047619e-22
1126259461.8182,2.4126157142857137e-22
1126259461.8183,2.441022857142857e-22
1126259461.8184,2.4690492857142852e-22
1126259461.8185,2.4967145238095237e-22
1126259461.8186,2.523989285714285e-22
1126259461.8186998,2.550883333333333e-22
1126259461.8188,2.577386904761904e-22
1126259461.8189,2.603490238095238e-22
1126259461.819,2.6292030952380952e-22
1126259461.8191,2.654515714285714e-22
1126259461.8192,2.6794280952380953e-22
1126259461.8193,2.703930476190476e-22
1126259461.8193998,2.7280130952380947e-22
1126259461.8195,2.751675952380952e-22
1126259461.8196,2.7749190476190478e-22
1126259461.8197,2.797732619047619e-22
1126259461.8198,2.8201166666666664e-22
1126259461.8199,2.842061428571428e-22
1126259461.82,2.8635766666666664e-22
1126259461.8201,2.884642857142855e-22
1126259461.8202,2.9052697619047613e-22
1126259461.8203,2.92544761904762e-22
1126259461.8204,2.9451666666666664e-22
1126259461.8205,2.964446428571427e-22
1126259461.8206,2.9832673809523807e-22
1126259461.8207,3.0016295238095216e-22
1126259461.8208,3.0195328571428566e-22
1126259461.8209,3.036977380952381e-22
1126259461.821,3.053953333333333e-22
1126259461.8211,3.070460714285715e-22
1126259461.8212,3.086499523809524e-22
1126259461.8213,3.1020599999999996e-22
1126259461.8214,3.1171421428571425e-22
1126259461.8215,3.131745952380952e-22
1126259461.8216,3.1458616666666664e-22
1126259461.8217,3.159489285714284e-22
1126259461.8218,3.1726190476190474e-22
1126259461.8219,3.1852607142857123e-22
1126259461.822,3.1974045238095226e-22
1126259461.8221,3.209060238095236e-22
1126259461.8222,3.220218095238095e-22
1126259461.8223,3.2308683333333333e-22
1126259461.8224,3.2410304761904757e-22
1126259461.8225,3.250684999999998e-22
1126259461.8226,3.259841666666665e-22
1126259461.8227,3.268500476190476e-22
1126259461.8228,3.276661428571428e-22
1126259461.8229,3.284304999999998e-22
1126259461.823,3.2914507142857126e-22
1126259461.8231,3.2980790476190466e-22
1126259461.8232,3.304209523809524e-22
1126259461.8233,3.3098128571428573e-22
1126259461.8234,3.31490857142857e-22
1126259461.8235,3.3194966666666664e-22
1126259461.8236,3.3235576190476177e-22
1126259461.8237,3.3271011904761887e-22
1126259461.8237998,3.3301273809523805e-22
1126259461.8239,3.332645952380952e-22
1126259461.824,3.3346373809523805e-22
1126259461.8241,3.336111428571428e-22
1126259461.8242,3.3370680952380947e-22
1126259461.8243,3.3375073809523804e-22
1126259461.8244,3.3374292857142837e-22
1126259461.8244998,3.336833809523808e-22
1126259461.8246,3.335720952380952e-22
1126259461.8247,3.334080952380952e-22
1126259461.8248,3.331933333333333e-22
1126259461.8249,3.3292683333333313e-22
1126259461.825,3.32607619047619e-22
1126259461.8251,3.322366666666665e-22
1126259461.8251998,3.3181397619047617e-22
1126259461.8253,3.3133954761904763e-22
1126259461.8254,3.308133809523809e-22
1126259461.8255,3.30235476190476e-22
1126259461.8256,3.296058333333332e-22
1126259461.8257,3.289244523809523e-22
1126259461.8258,3.281923095238094e-22
1126259461.8258998,3.2740842857142854e-22
1126259461.826,3.2657378571428565e-22
1126259461.8261,3.256883809523809e-22
1126259461.8262,3.247522142857141e-22
1126259461.8263,3.2376626190476185e-22
1126259461.8264,3.2272954761904754e-22
1126259461.8265,3.216440238095237e-22
1126259461.8265998,3.205077380952379e-22
1126259461.8267,3.193216666666667e-22
1126259461.8268,3.180858095238095e-22
1126259461.8269,3.168011428571428e-22
1126259461.827,3.154666904761903e-22
1126259461.8271,3.140824523809522e-22
1126259461.8272,3.1264842857142863e-22
1126259461.8272998,3.111655952380952e-22
1126259461.8274,3.0963395238095235e-22
1126259461.8275,3.080525238095238e-22
1126259461.8276,3.064222857142857e-22
1126259461.8277,3.047432380952382e-22
1126259461.8278,3.0301635714285693e-22
1126259461.8279,3.0124164285714287e-22
1126259461.828,2.994190952380952e-22
1126259461.8281,2.9754969047619044e-22
1126259461.8282,2.9563245238095226e-22
1126259461.8283,2.936703095238095e-22
1126259461.8284,2.9166228571428576e-22
1126259461.8285,2.8960838095238077e-22
1126259461.8286,2.8750859523809514e-22
1126259461.8287,2.8536585714285696e-22
1126259461.8288,2.8317723809523804e-22
1126259461.8289,2.8094566666666666e-22
1126259461.829,2.786691904761904e-22
1126259461.8291,2.7634976190476187e-22
1126259461.8292,2.739873809523809e-22
1126259461.8293,2.7158204761904757e-22
1126259461.8294,2.691337619047619e-22
1126259461.8295,2.666435e-22
1126259461.8296,2.6411126190476187e-22
1126259461.8297,2.615370476190476e-22
1126259461.8298,2.589218333333333e-22
1126259461.8299,2.56265619047619e-22
1126259461.83,2.5356840476190473e-22
1126259461.8301,2.5083214285714285e-22
1126259461.8302,2.4805488095238096e-22
1126259461.8303,2.452395476190476e-22
1126259461.8304,2.4238419047619046e-22
1126259461.8305,2.394907619047619e-22
1126259461.8306,2.365582857142857e-22
1126259461.8307,2.3358871428571426e-22
1126259461.8308,2.305820476190476e-22
1126259461.8309,2.2753828571428567e-22
1126259461.831,2.244574285714286e-22
1126259461.8311,2.213414285714286e-22
1126259461.8312,2.1819028571428573e-22
1126259461.8313,2.1500399999999996e-22
1126259461.8314,2.1178354761904765e-22
1126259461.8315,2.0852990476190475e-22
1126259461.8316,2.0524209523809521e-22
1126259461.8316998,2.0192304761904758e-22
1126259461.8318,1.9857178571428568e-22
1126259461.8319,1.9518830952380951e-22
1126259461.832,1.917755476190476e-22
1126259461.8321,1.883315476190476e-22
1126259461.8322,1.8485826190476192e-22
1126259461.8323,1.813556904761905e-22
1126259461.8323998,1.7782480952380952e-22
1126259461.8325,1.7426561904761904e-22
1126259461.8326,1.70678119047619e-22
1126259461.8327,1.6706426190476193e-22
1126259461.8328,1.6342307142857143e-22
1126259461.8329,1.5975649999999995e-22
1126259461.833,1.5606357142857143e-22
1126259461.8330998,1.5234623809523812e-22
1126259461.8332,1.486035238095238e-22
1126259461.8333,1.448373809523809e-22
1126259461.8334,1.410478095238095e-22
1126259461.8335,1.372357857142857e-22
1126259461.8336,1.3340130952380951e-22
1126259461.8337,1.2954535714285709e-22
1126259461.8337998,1.2566890476190473e-22
1126259461.8339,1.2177195238095237e-22
1126259461.8339999,1.1785547619047618e-22
1126259461.8341,1.1391947619047618e-22
1126259461.8342,1.0996590476190475e-22
1126259461.8343,1.059937857142857e-22
1126259461.8344,1.0200507142857142e-22
1126259461.8344998,9.79997619047619e-23
1126259461.8346,9.397883333333332e-23
1126259461.8347,8.99422857142857e-23
1126259461.8348,8.589109523809521e-23
1126259461.8349,8.182526190476189e-23
1126259461.835,7.774673809523808e-23
1126259461.8351,7.365454761904763e-23
1126259461.8352,6.955064285714284e-23
1126259461.8353,6.543404761904761e-23
1126259461.8354,6.130671428571428e-23
1126259461.8355,5.716961904761903e-23
1126259461.8356,5.302178571428571e-23
1126259461.8357,4.8865166666666654e-23
1126259461.8358,4.4699761904761894e-23
1126259461.8359,4.0526547619047616e-23
1126259461.836,3.6346500000000006e-23
1126259461.8361,3.215961904761905e-23
1126259461.8362,2.796688095238095e-23
1126259461.8363,2.37692619047619e-23
1126259461.8364,1.9567738095238092e-23
1126259461.8365,1.536328571428571e-23
1126259461.8366,1.115492857142857e-23
1126259461.8367,6.945595238095237e-24
1126259461.8368,2.7343095238095237e-24
1126259461.8369,-1.4779523809523805e-24
1126259461.837,-5.6911904761904744e-24
1126259461.8371,-9.903452380952377e-24
1126259461.8372,-1.4114738095238096e-23
1126259461.8373,-1.832407142857143e-23
1126259461.8374,-2.253145238095238e-23
1126259461.8375,-2.673590476190477e-23
1126259461.8376,-3.0937428571428565e-23
1126259461.8377,-3.5134071428571424e-23
1126259461.8378,-3.9325833333333334e-23
1126259461.8379,-4.351271428571428e-23
1126259461.838,-4.769276190476189e-23
1126259461.8381,-5.1865976190476187e-23
1126259461.8382,-5.603138095238096e-23
1126259461.8383,-6.0188e-23
1126259461.8384,-6.433680952380952e-23
1126259461.8385,-6.847488095238094e-23
1126259461.8386,-7.260319047619045e-23
1126259461.8387,-7.671978571428569e-23
1126259461.8388,-8.082564285714283e-23
1126259461.8389,-8.491880952380949e-23
1126259461.839,-8.899928571428571e-23
1126259461.8391,-9.306511904761905e-23
1126259461.8392,-9.71182619047619e-23
1126259461.8393,-1.011557857142857e-22
1126259461.8394,-1.0517866666666668e-22
1126259461.8395,-1.0918495238095236e-22
1126259461.8395998,-1.131746428571428e-22
1126259461.8397,-1.171477380952381e-22
1126259461.8398,-1.2110326190476187e-22
1126259461.8399,-1.250402380952381e-22
1126259461.84,-1.2895866666666665e-22
1126259461.8401,-1.3285757142857141e-22
1126259461.8402,-1.3673695238095236e-22
1126259461.8402998,-1.4059583333333327e-22
1126259461.8404,-1.444332380952381e-22
1126259461.8405,-1.4824916666666661e-22
1126259461.8406,-1.520426428571428e-22
1126259461.8407,-1.5581366666666666e-22
1126259461.8408,-1.5956028571428566e-22
1126259461.8409,-1.6328249999999998e-22
1126259461.841,-1.6698030952380951e-22
1126259461.8411,-1.7065273809523805e-22
1126259461.8412,-1.7429783333333333e-22
1126259461.8413,-1.7791657142857142e-22
1126259461.8414,-1.8150699999999997e-22
1126259461.8415,-1.8506911904761904e-22
1126259461.8416,-1.8860097619047617e-22
1126259461.8416998,-1.921035476190476e-22
1126259461.8418,-1.9557585714285713e-22
1126259461.8419,-1.9901692857142854e-22
1126259461.842,-2.024257857142857e-22
1126259461.8421,-2.0580242857142858e-22
1126259461.8422,-2.0914588095238095e-22
1126259461.8423,-2.1245614285714284e-22
1126259461.8423998,-2.1573321428571426e-22
1126259461.8425,-2.18976119047619e-22
1126259461.8426,-2.221838809523809e-22
1126259461.8427,-2.2535747619047614e-22
1126259461.8428,-2.2849495238095233e-22
1126259461.8429,-2.315982619047619e-22
1126259461.843,-2.3466447619047617e-22
1126259461.8431,-2.376955476190476e-22
1126259461.8432,-2.4068952380952376e-22
1126259461.8433,-2.4364640476190477e-22
